"","space","description","transit","access","house_rules","host_since","host_about","host_response_time","host_is_superhost","host_total_listings_count","host_has_profile_pic","zipcode","Latitude","Longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_fewDaysOrMore","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"12","1","The  apartment is 750 ft in ""la campagne à Paris"", a green and quiet neighborhood close to Gambetta and the cemetery ""le père Lachaise"" in the 20th arrondissement. Perfect for a family, it has 5 sleeps, a living room with balcony, quiet and luminous. Washing machine, dryer, dish washer, oven… tv, dvd, cable, internet. The subway is ""Porte de Bagnolet"" line 3, 5 stops from ""République"", or tram T3, bus 96,  groceries stores nearby open until 10PM The 70 sqm apartment has 2 bedrooms, a living room with balcony, a separated kitchen, a bathroom with bathtub, WC. It is all equipped with a washing machine, dryer, dish washer, oven... tv, dvd, cable, internet.  Nice and quiet neighborhood, 5 minutes from the subway ""porte de bagnolet"" line 3 and the tram 3b. 5 stops from ""republic"".  Grocery stores nearby The subway is ""Porte de Bagnolet"" line 3 (5 stops from ""République""), or tram T3, ""Severine"" or bus 96...","1","0","0","2010","0","N/A","0","1","1","75020",48.8684186632129,2.40701997997764,"Apartment","Entire home/apt","5","1","2","4","Real Bed",753,100,600,30,"4",10,5,45,4,"2017-07-07","2018-08-11",90,10,9,10,10,10,10,"0","0","strict_14_with_grace_period","0",0.25,0.0866666666666667,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","1",241.32144,1639055.22048,260
"13","1","This fully furnished 1 bedroom is located right next to the Parc Monceau, lots of shopping and 1 block away from a subway station that can get you anywhere in Paris quickly. Walking distance to Etoile / Champs Elysees. The apartment is available at a discount from now (August 23) to August 30 with a preference for people staying 4+ nights. Feel free to enquire for the apartment / send me messages about your trip to Paris, I'm glad to answer any question even if you end up staying somewhere else !  I have had more than 20 guests on Airbnb over the past two years and they all loved the apartment and the prime location ! Emmanuel ---- It is a one bedroom in a modern building with doorman very close to Parc Monceau, rue de Chazelles more precisely.  Elevator, kitchen, bathroom, plasma screen, WIFI, phone free to call the U.S, black leather sofa, lots of light, no surprises !  I am the owner of this apartment (it is an important detail as many other apartments on Airbnb are sublets or agenc","1","0","0","2010","1","N/A","0","1","1","75017",48.879524602109,2.30543429383594,"Apartment","Entire home/apt","2","1","1","1","Real Bed",463,76,0,40,"2",30,180,180,30,"2010-04-08","2017-08-11",90,9,8,10,10,10,9,"0","0","moderate","0",0.29,0.100533333333333,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0",148.38224,1261842.56896,229.215999999999
"14","1","The apartment is  located close to the Eiffel Tower, and is ideal for 1 to 3 people (please note: not suitable for small children). 4 nights minimum. All Paris attractions within easy reach.  A genuine home away from home. PLEASE ALWAYS CHECK WITH ME FOR AVAILABILITY BEFORE BOOKING JULY/AUGUST BOOKINGS PREFERABLY ONE WEEK All of Paris at your command from this light, airy, spacious apartment (62 square meters) on the 7th floor (with elevator) of a pleasant 1930s building on a quiet street just one minute from the Bir Hakeim (Eiffel Tower) metro station (line 6). The bedroom sleeps 1 or 2 people, with accommodation for a third person in a study with comfortable sofa bed. The apartment has windows on both sides, so you get sunlight all day long. There is a large living/dining area and fully equipped kitchen.  It’s just a short stroll to the Eiffel Tower, the Seine,the Bateaux Mouches and the spectacular Quai Branly Museum. Metro and bus routes get you in minutes to the Arc de Triomphe, t","1","1","1","2010","1","N/A","1","1","1","75015",48.8533862067787,2.29096887557778,"Apartment","Entire home/apt","3","1","2","2","Real Bed",667,120,0,30,"1",19,3,21,151,"2010-05-09","2018-10-01",99,10,10,10,10,10,10,"0","0","moderate","0",1.46,0.506133333333333,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0",213.76016,1834275.93296,1822.08
"15","1","Our apartment is the perfect size for a couple, but can accommodate an extra person easily on the pull-out couch. It's steps away from the Sacré Coeur and has easy access to public transportation. Hello! Bonjour!  Welcome to our fabulous one bedroom apartment! It is situated in the beautiful Montmartre ""village"" and located on a small, quiet street, literally steps away from the famous Sacré Coeur church.  Our apartment has everything you need for a wonderful stay in Paris. It is located on the 2nd floor (1er étage), and can accommodate up to 3 people.   The apartment has a queen size bed, full size pull out couch, equipped American kitchen with washer and dryer, and bathroom with giant bathtub and shower. We also provide all the sheets, towels, plates, glasses, etc.  There is also free wireless internet, telephone with free international calling to the US as well as several other countries, and a TV with international channels.  The metro station Chateau Rouge is 5 minutes away and th","1","1","0","2010","1","within an hour","0","3","1","75018",48.8865889719989,2.34506730125789,"Apartment","Entire home/apt","3","1","1","2","Real Bed",355,75,149,45,"2",7,5,90,29,"2011-07-11","2017-11-27",90,9,9,9,9,9,9,"1","0","moderate","0",0.33,0.1144,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","1",113.7704,844176.368,257.4
"16","1","My apartment is 29m² with a large balcony (10m²) on a quiet and luminous courtyard. I live here, you won't feel like in a hotel :) You'll find a lot of store, bars and restaurants around in the quarter. Sacré Coeur is only 10min by walk :-) An apartment in a new building (fully equipped), located 5 minutes from metro Jules Joffrin (line 12) and 10 minutes from the heart of Montmartre on foot. Many grocery store, bars and restaurants around the flat. The apartment has a terrace of 10 square meters overlooking a courtyard (very quiet and bright), where you can enjoy all your meals. The apartment is equipped for a plaisant and comfortable stay at the foot of Montmartre's hill. You'll have access to the whole apartment. The apartment is fully furnished with all commodities. Please don't hesitate to ask me if you're looking for a nice restaurant or a place to hangout ! I live here since 6 years, you will feel like at home : )","0","1","1","2010","1","N/A","0","1","1","75018",48.8933318387298,2.3391266673408,"Apartment","Entire home/apt","2","1","1","1","Real Bed",323,55,300,0,"1",0,4,60,11,"2014-10-10","2018-01-01",89,9,8,10,10,9,9,"0","0","moderate","0",0.22,0.0762666666666667,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","0","0","0","1","1",103.51504,768081.5968,125.84
"17","1","Rent your flat on for a week-end a week or a month, near of the famous cemetery of Père Lachaise. ALMOST IN DIRECT ACCESS EURODISNEY (NEAR THE LINE RER A TO GO IN EuroDisneyland 25minutes). Big flat, a spacious (60 m2 / 650 sqft ), very luminous,  for 4 persons or a family.  Great home secure, double door code, the guardian and lift. South facing, peaceful views over the garden. Apartment 2 rooms, dressing room, separate kitchen, large living room, bedroom, bathroom (bath). Bedding: 1 double bed and a convertible two-seater sofa very comfortable (can pay mattress self inflating). Equipment: Internet access, washing machine, oven, microwave, large fridge, freezer, stove, toaster, iron, TV, dining table 8 people, vacuum cleaner. WIFI CODE FOR YOUR INTERNET Proximity: 1 block of Pere Lachaise, Ménilmontant district, Belleville (Edith Piaf), Gambetta. Discover the authenticity of Parisian life in one of the last areas that has kept the spirit of the village. Market on Thursday and Sunday a","1","1","0","2010","1","within a day","0","1","1","75020",48.8555197282219,2.40457389562977,"Apartment","Entire home/apt","4","1","1","1","Real Bed",592,68,200,0,"4",23,2,30,1,"2018-10-21","2018-10-21",100,10,8,10,10,10,10,"0","0","moderate","0",1,0.346666666666667,"1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","1","0","0","1","0","1","1",189.72416,1288606.49472,707.200000000001
"18","1","Nice appartement with 2 bedrooms (one for a child), a kitchen where 6 people can easealy eat, a living room with double sofa (which can be a bed). Internet wifi, tv, washing machine and dishwasher. The appartement is really sunny. It 's a cat in the appartment. Fith (and highest) floor with no lift. You will fine every shops just under the appartment (supermarket,FNAC, Printemps, pharmacy...) The place is between: -""la butte aux cailles"" (100 meters) a lovely quarter whith plenty of restaurants, bars and a nice market every tuesday, friday and sunday.  It will give you an image of the historical Paris without lot's of tourists. -the asian area (100 meters) where you can try a lot of exotic restaurants (I can give you some advice for the best!) and grocerys. It is a short 10 minutes walk from la rue Mouffetar and is dayly market. (one of the oldest in Paris). Like a lot of french people I like food and wine so don't hesit to ask for advices about a place for diner, drink or buy wine! Th","1","0","1","2010","1","a few days or more","0","1","1","75013",48.8292687424108,2.35672062007743,"Apartment","Entire home/apt","4","1","2","1","Real Bed",592,70,0,40,"1",0,6,15,52,"2010-06-21","2016-10-16",96,10,10,10,10,9,10,"0","0","flexible","0",0.51,0.1768,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1",189.72416,1474156.7232,371.28
"19","1","In the heart of Paris,near the place des Vosges and the Marais,in the lively Bastille neighborhood but away from the noise, please come and discover your future apartment where you can enjoy a typical "" marais"" home:wooden beams with a seventies touch. Very lively neighborhood with many shops and two daily farmer's markets nearly. The first ; the very popular  "" Marché d'Aligre "" works every morning except on monday... The second ; very beautiful market on the Boulevard Richard Lenoir...every thursday and sunday morning. 2 lines of subways Line 1 (the mean line ) Bastille station , between 4 and 5 minutes on walking , to go to the Louvre , the  ""Champs Elysées...etc... Line 8 Ledru Rollin Station ,3 minutes on walking ,to go to Opéra Garnier and  bigs stores (Printemps and Galeries Lafayette...) A  55 square meter (600 square feet ) apartment with mezzanine( new queen size bed )  where we take care to bring you all the comfort :washine machine, dishwasher, fully equipped kitche (Websit","0","0","1","2010","1","within an hour","1","1","1","75012",48.8499536190419,2.373728011207,"Apartment","Entire home/apt","2","1","1","0","Real Bed",603,128,500,45,"1",0,2,60,338,"2010-07-11","2018-10-21",99,10,10,10,10,10,10,"1","0","strict_14_with_grace_period","0",3.33,1,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","0",193.24944,1492658.67456,3840
"21","1","A beautifully restored 1-bedroom, 1-bath apartment in a French Haussmann building, with a full kitchen near the historic Latin Quarter of Paris. We decorated this apartment for ourselves to live in, and we are happy to let travelers use it while we are living abroad for a couple of years! It is a beautifully restored 1-bedroom, 1-bath apartment in a French Haussmann building, with a full kitchen near the historic Latin Quarter of Paris. Near pedestrian street Rue Mouffetard, outdoor markets, Botanical Gardens, and the Mosque. 2 minute walk to metro (line 5 - St. Marcel). 20 minute walk to Islands and historic Latin Quarter. In quiet building with quiet residents, on a private courtyard. We ask that renters please respect that this is a building with permanent residents, and to be quiet and respectful. There is a queen-size bed. Sleeps 3 with the couch (not a sofa-bed - not meant to be a permanent bed). The apartment is fully furnished, wireless internet, cable TV, phone, maps and guide","1","0","1","2010","1","within a few hours","1","2","1","75005",48.8397708260165,2.35682068054158,"Apartment","Entire home/apt","2","1","1","1","Real Bed",452,88,400,30,"2",10,5,365,59,"2011-09-16","2018-10-26",92,9,9,10,10,10,9,"0","0","strict_14_with_grace_period","0",0.68,0.235733333333333,"1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","0",144.85696,1568511.16288,622.335999999999
"22","1","Planning a trip to Paris?  Want to experience the real Parisian life?  Come and  stay in a confortable all furnished apartment in on of the most popular and trendy part of Paris. 1 bedroom apartment ideally located at the heart of the lively and adorable Montmartre area. Just get by the window and you'll fell ""real life"", just close the window and dive in the warm and quiet atmosphere of this lovely place. You won't have to walk more than a few meters to find any kind of fresh food, restaurants, bars, shops and anything you might wish.  Big living-dining room with open kitchen and a sofa bed for two more persons.  One bedroom.  Shower room.  WIFI access.  I can offer you more and  give you a taste of the real Paris like only one native of this city can._ I will give you the keys to plan an unforgettable and personally tailored vacation, everything from lodging to dining to entertainment to shopping. Time saving and quality enhancing guaranteed! Ask for more details.","0","0","1","2010","1","within a day","0","7","1","75018",48.8868896383025,2.33364079517435,"Apartment","Entire home/apt","4","1","1","2","Real Bed",431,170,450,0,"2",15,3,90,87,"2010-09-16","2018-07-08",97,10,9,10,10,10,9,"0","0","strict_14_with_grace_period","0",0.88,0.305066666666667,"1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","1","1",138.12688,1024901.4496,1555.84
"23","1","Two-piece pure white, warm and cozy, very arty! Sleeps two quiet close to the Seine.    ","1","1","1","2010","1","N/A","0","1","1","75013",48.8286540005402,2.37410535242447,"Apartment","Entire home/apt","2","1","1","1","Real Bed",420,70,200,30,"1",0,2,15,61,"2010-08-31","2018-03-31",95,10,10,10,10,9,9,"0","0","moderate","0",0.61,0.211466666666667,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","1","0","1","1",134.6016,1045854.432,444.080000000001
